"スキル項目コード","専門分野コード"
"S130010020","HE-020-020"
"S130010020","HE-040-010"
"S130010020","HE-050-010"
"S130010020","HE-060-010"
"S130010020","HS-020-010"
"S130010020","HF-010-030"
"S130010020","HF-020-020"
"S130010020","HF-020-030"
"S130010020","HF-020-050"
"S130010020","HF-030-020"
"S130010020","HF-030-030"
"S130010020","HF-040-010"
"S130010020","HN-010-030"
"S130010020","HN-020-030"
"S130010020","HN-030-020"
"S130010020","HP-010-020"
"S130010020","HP-010-030"
"S130010030","HI-040-010"
"S130010030","HI-080-010"
"S130010030","HU-080-010"
"S130010030","HE-020-010"
"S130010030","HE-020-020"
"S130010030","HE-040-010"
"S130010030","HE-050-010"
"S130010030","HE-060-010"
"S130010030","HS-020-010"
"S130010030","HF-010-030"
"S130010030","HF-020-020"
"S130010030","HF-020-030"
"S130010030","HF-020-050"
"S130010030","HF-030-020"
"S130010030","HF-030-030"
"S130010030","HF-040-010"
"S130010030","HN-010-030"
"S130010030","HN-020-030"
"S130010030","HN-030-020"
"S130010030","HP-010-020"
"S130010030","HP-010-030"
"S130010040","HI-040-010"
"S130010040","HI-060-010"
"S130010040","HI-060-020"
"S130010040","HI-060-030"
"S130010040","HI-060-040"
"S130010040","HI-060-050"
"S130010040","HI-060-060"
"S130010040","HI-080-010"
"S130010040","HU-050-010"
"S130010040","HU-080-010"
"S130010040","HE-020-010"
"S130010040","HE-020-020"
"S130010040","HE-040-010"
"S130010040","HE-050-010"
"S130010040","HE-060-010"
"S130010040","HE-070-020"
"S130010040","HE-080-010"
"S130010040","HE-100-010"
"S130010040","HS-020-010"
"S130010040","HS-040-010"
"S130010040","HF-010-030"
"S130010040","HF-010-050"
"S130010040","HF-020-020"
"S130010040","HF-020-030"
"S130010040","HF-020-050"
"S130010040","HF-030-020"
"S130010040","HF-030-030"
"S130010040","HF-030-060"
"S130010040","HF-040-010"
"S130010040","HF-040-030"
"S130010040","HN-010-030"
"S130010040","HN-020-030"
"S130010040","HN-030-020"
"S130010040","HP-010-020"
"S130010040","HP-010-030"
"S130010040","HP-010-060"
"S130010040","HP-010-090"
"S130010050","HI-040-010"
"S130010050","HI-060-030"
